index,Sepal.Width*10,Petal.Length,other,Petal.Width,random
169,3,5.1,50,1.8,7.6
170,3,5.1,51,1.8,7.84
171,3,5.1,52,1.8,8.99
172,3,5.1,53,1.8,7.41
173,3,5.1,54,1.8,9.38
174,3,5.1,55,1.8,7.01
175,3,5.1,56,1.8,9.54
176,3,5.1,57,1.8,7.45
177,3.8,6.7,26,2.2,5.57
178,4.8,7.7,27,26,9.69
179,5.8,8.7,28,27,8.99
180,6.8,9.7,29,28,5.25
181,7.8,10.7,30,29,7.44
182,8.8,11.7,31,30,6.21
183,9.8,12.7,32,31,9.61
184,10.8,13.7,33,32,8.93
185,11.8,14.7,34,33,9.56
186,12.8,15.7,35,34,9.5
187,13.8,16.7,36,35,8.29
188,14.8,17.7,37,36,8.51
189,15.8,18.7,38,37,8.05
190,16.8,19.7,39,38,8.39
191,17.8,20.7,40,39,5.12
192,18.8,21.7,41,40,6.39
193,19.8,22.7,42,41,7.84
194,20.8,23.7,43,42,7.37
195,21.8,24.7,44,43,8.97
196,22.8,25.7,45,44,9.08
197,23.8,26.7,46,45,9.02
198,24.8,27.7,47,46,9.03
199,25.8,28.7,48,47,7.38
200,26.8,29.7,49,48,9.23
201,27.8,30.7,50,49,7.88
202,28.8,31.7,51,50,7.72
203,29.8,32.7,52,51,5.26
204,30.8,33.7,53,52,9.18
205,31.8,34.7,54,53,7.38
206,32.8,35.7,55,54,8.42
207,33.8,36.7,56,55,6.79
208,34.8,37.7,57,56,8.18
209,35.8,38.7,58,57,5.14
210,36.8,39.7,59,58,5.31
211,37.8,40.7,60,59,8.78
212,38.8,41.7,61,60,8.91
213,39.8,42.7,62,61,7.57
214,40.8,43.7,63,62,6.57
215,41.8,44.7,64,63,6.98
216,42.8,45.7,65,64,5.1
217,43.8,46.7,66,65,5.39
218,44.8,47.7,67,66,9.39
219,45.8,48.7,68,67,7.48
220,46.8,49.7,69,68,7.23
221,47.8,50.7,70,69,5.29
222,48.8,51.7,71,70,8.47
223,49.8,52.7,72,71,6.94
224,50.8,53.7,73,72,5.87
225,51.8,54.7,74,73,7.92
226,52.8,55.7,75,74,5.62
227,53.8,56.7,76,75,8.85
228,54.8,57.7,77,76,6.64
229,55.8,58.7,78,77,8.23
230,56.8,59.7,79,78,5.18
231,57.8,60.7,80,79,8.46
232,58.8,61.7,81,80,5.36
233,59.8,62.7,82,81,5.54
234,60.8,63.7,83,82,5.31
235,61.8,64.7,84,83,6.53
236,62.8,65.7,85,84,9.63
237,63.8,66.7,86,85,9.52
238,64.8,67.7,87,86,9.39
239,65.8,68.7,88,87,8.71
240,66.8,69.7,89,88,6.51
241,67.8,70.7,90,89,6.32
242,68.8,71.7,91,90,6.48
243,69.8,72.7,92,91,8.03
244,70.8,73.7,93,92,7.24
245,71.8,74.7,94,93,9.53
246,72.8,75.7,95,94,8.36
247,73.8,76.7,96,95,8.3
248,74.8,77.7,97,96,9.11
249,75.8,78.7,98,97,9.35
250,76.8,79.7,99,98,7.44
251,77.8,80.7,100,99,5.61
252,78.8,81.7,101,100,5.76
253,79.8,82.7,102,101,6.27
254,80.8,83.7,103,102,8.66
255,81.8,84.7,104,103,6.29
256,82.8,85.7,105,104,8.44
257,83.8,86.7,106,105,9.81
258,84.8,87.7,107,106,6.09
259,85.8,88.7,108,107,8.52
260,86.8,89.7,109,108,8.35
261,87.8,90.7,110,109,6.45
262,88.8,91.7,111,110,5.91
263,89.8,92.7,112,111,5.29
264,90.8,93.7,113,112,8.02
265,91.8,94.7,114,113,6.31
266,92.8,95.7,115,114,9.28
267,93.8,96.7,116,115,5.54
268,94.8,97.7,117,116,7.74
269,95.8,98.7,118,117,6.77
270,96.8,99.7,119,118,6.4
271,97.8,100.7,120,119,7.23
272,98.8,101.7,26,120,7.42
273,99.8,102.7,27,121,8.07
274,100.8,103.7,28,122,5.98
275,101.8,104.7,29,123,8.27
276,102.8,105.7,30,124,8.47
277,103.8,106.7,31,125,8.82
278,104.8,107.7,32,126,8.04
279,105.8,108.7,33,127,9.68
280,106.8,109.7,34,128,8.08
281,107.8,110.7,35,129,6.63
282,108.8,111.7,36,130,7.84
283,109.8,112.7,37,131,6.31
284,110.8,113.7,38,132,9.53
285,111.8,114.7,39,133,6.33
286,112.8,115.7,40,134,5.6
287,113.8,116.7,41,135,7.28
288,114.8,117.7,42,136,9.81
289,115.8,118.7,43,137,8.16
290,116.8,119.7,44,138,9.48
291,117.8,120.7,45,139,9.74
292,118.8,121.7,46,140,9.89
293,119.8,122.7,47,141,6.87
294,120.8,123.7,48,142,8.36
295,121.8,124.7,49,143,6.84
296,122.8,125.7,50,144,9.77
297,123.8,126.7,51,145,9.36
298,124.8,127.7,52,146,6.01
299,125.8,128.7,53,147,8.11
300,126.8,129.7,54,148,8.32
301,127.8,130.7,55,149,7.68
302,128.8,131.7,56,150,6.73
303,129.8,132.7,57,151,8.8
304,130.8,133.7,58,152,6.94
305,131.8,134.7,59,153,5.93
306,132.8,135.7,60,154,5.19
307,133.8,136.7,61,155,6.67
308,134.8,137.7,62,156,5.77
309,135.8,138.7,63,157,9.24
310,136.8,139.7,64,158,8.34
311,137.8,140.7,65,159,6.49
312,138.8,141.7,66,160,5.55
313,139.8,142.7,67,161,5.22
314,140.8,143.7,68,162,6.27
315,141.8,144.7,69,163,6.79
316,142.8,145.7,70,164,6.34
317,143.8,146.7,71,165,6.24
318,144.8,147.7,72,166,8.43
319,145.8,148.7,73,167,8.25
320,146.8,149.7,74,168,9.54
321,147.8,150.7,75,169,8.23
322,148.8,151.7,76,170,9.33
323,149.8,152.7,77,171,5.85
324,150.8,153.7,78,172,9.51
325,151.8,154.7,79,173,5.53
326,152.8,155.7,80,174,7.1
327,153.8,156.7,81,175,6.52
328,154.8,157.7,82,176,6.2
329,155.8,158.7,83,177,6.98
330,156.8,159.7,84,178,6.04
331,157.8,160.7,85,179,7.82
332,158.8,161.7,86,180,8.94
333,159.8,162.7,87,181,8.55
334,160.8,163.7,88,182,6.17
335,161.8,164.7,89,183,6.98
336,162.8,165.7,90,184,5.78
337,163.8,166.7,91,185,8.02
338,164.8,167.7,92,186,7.53
339,165.8,168.7,93,187,6.24
340,166.8,169.7,94,188,9.08
341,167.8,170.7,95,189,6.47
342,168.8,171.7,96,190,6.77
343,169.8,172.7,97,191,8.72
344,170.8,173.7,98,192,8.13
345,171.8,174.7,99,193,7.08
346,172.8,175.7,100,194,5.76
347,173.8,176.7,101,195,5.78
348,174.8,177.7,102,196,9.8
349,175.8,178.7,103,197,9.32
350,176.8,179.7,104,198,6.05
351,177.8,180.7,105,199,7.98
352,178.8,181.7,106,200,6.14
353,179.8,182.7,107,201,8.01
354,180.8,183.7,108,202,9.42
355,181.8,184.7,109,203,9.87
356,182.8,185.7,110,204,7.06
357,183.8,186.7,111,205,7.14
358,184.8,187.7,112,206,6.08
359,185.8,188.7,113,207,7.31
360,186.8,189.7,114,208,5.42
361,187.8,190.7,115,209,5.8
362,188.8,191.7,116,210,5.87
363,189.8,192.7,117,211,6.48
364,190.8,193.7,118,212,6.83
365,191.8,194.7,119,213,6.82
366,192.8,195.7,120,214,5.26
367,193.8,196.7,26,215,8.5
368,194.8,197.7,27,216,7.06
369,195.8,198.7,28,217,5.97
370,196.8,199.7,29,218,7.2
371,197.8,200.7,30,219,9.14
372,198.8,201.7,31,220,5.1
373,199.8,202.7,32,221,9.21
374,200.8,203.7,33,222,8.05
375,201.8,204.7,34,223,8.41
376,202.8,205.7,35,224,6.11
377,203.8,206.7,36,225,5.98
378,204.8,207.7,37,226,9.76
379,205.8,208.7,38,227,6.95
380,206.8,209.7,39,228,9.23
381,207.8,210.7,40,229,8.35
382,208.8,211.7,41,230,8.18
383,209.8,212.7,42,231,5.39
384,210.8,213.7,43,232,9.9
385,211.8,214.7,44,233,6.26
386,212.8,215.7,45,234,6.73
387,213.8,216.7,46,235,8.86
388,214.8,217.7,47,236,6.59
389,215.8,218.7,48,237,5.63
390,216.8,219.7,49,238,7.27
391,217.8,220.7,50,239,6.56
392,218.8,221.7,51,240,9.45
393,219.8,222.7,52,241,9.42
394,220.8,223.7,53,242,5.33
395,221.8,224.7,54,243,7.44
396,222.8,225.7,55,244,9.13
397,223.8,226.7,56,245,9.65
398,224.8,227.7,57,246,6.78
399,225.8,228.7,58,247,5.24
400,226.8,229.7,59,248,6.23
401,227.8,230.7,60,249,8.77
402,228.8,231.7,61,250,6.65
403,229.8,232.7,62,251,9.88
404,230.8,233.7,63,252,9.83
405,231.8,234.7,64,253,9.61
406,232.8,235.7,65,254,9.88
407,233.8,236.7,66,255,8.03
408,234.8,237.7,67,256,7.24
409,235.8,238.7,68,257,6.91
410,236.8,239.7,69,258,6.96
411,237.8,240.7,70,259,5.27
412,238.8,241.7,71,260,8.02
413,239.8,242.7,72,261,9.87
414,240.8,243.7,73,262,8.42
415,241.8,244.7,74,263,5.95
416,242.8,245.7,75,264,7.34
417,243.8,246.7,76,265,7.97
418,244.8,247.7,77,266,5.18
419,245.8,248.7,78,267,5.21
420,246.8,249.7,79,268,8.28
421,247.8,250.7,80,269,7.98
422,248.8,251.7,81,270,5.37
423,249.8,252.7,82,271,7.67
424,250.8,253.7,83,272,6.41
425,251.8,254.7,84,273,9.51
426,252.8,255.7,85,274,5.5
427,253.8,256.7,86,275,9.28
428,254.8,257.7,87,276,8.77
429,255.8,258.7,88,277,9.78
430,256.8,259.7,89,278,7.67
431,257.8,260.7,90,279,6.87
432,258.8,261.7,91,280,6.23
433,259.8,262.7,92,281,8.04
434,260.8,263.7,93,282,8.48
435,261.8,264.7,94,283,6.74
436,262.8,265.7,95,284,9.85
437,263.8,266.7,96,285,5.89
438,264.8,267.7,97,286,5.84
439,265.8,268.7,98,287,8.68
440,266.8,269.7,99,288,7.21
441,267.8,270.7,100,289,8.17
442,268.8,271.7,101,290,6.45
443,269.8,272.7,102,291,6.94
444,270.8,273.7,103,292,9.58
445,271.8,274.7,104,293,5.38
446,272.8,275.7,105,294,7.56
447,273.8,276.7,106,295,8.99
448,274.8,277.7,107,296,5.5
449,275.8,278.7,108,297,9.22
450,276.8,279.7,109,298,5.8
451,277.8,280.7,110,299,8.16
452,278.8,281.7,111,300,8.86
453,279.8,282.7,112,301,7.57
454,280.8,283.7,113,302,7.47
455,281.8,284.7,114,303,9.76
456,282.8,285.7,115,304,7.25
457,283.8,286.7,116,305,9.61
458,284.8,287.7,117,306,9.61
459,285.8,288.7,118,307,5.56
460,286.8,289.7,119,308,8.08
461,287.8,290.7,120,309,5.71
462,288.8,291.7,26,310,8.33
463,289.8,292.7,27,311,8.92
464,290.8,293.7,28,312,8.43
465,291.8,294.7,29,313,5.21
466,292.8,295.7,30,314,8.39
467,293.8,296.7,31,315,9.73
468,294.8,297.7,32,316,7.03
469,295.8,298.7,33,317,5.45
470,296.8,299.7,34,318,7.66
471,297.8,300.7,35,319,9.6
472,298.8,301.7,36,320,8.92
473,299.8,302.7,37,321,7.11
474,300.8,303.7,38,322,7.76
475,301.8,304.7,39,323,9.15
476,302.8,305.7,40,324,8.63
477,303.8,306.7,41,325,6.32
478,304.8,307.7,42,326,5.4
479,305.8,308.7,43,327,5.19
480,306.8,309.7,44,328,9.22
481,307.8,310.7,45,329,7.94
482,308.8,311.7,46,330,8.69
483,309.8,312.7,47,331,9.3
484,310.8,313.7,48,332,9.69
485,311.8,314.7,49,333,8.71
486,312.8,315.7,50,334,6.39
487,313.8,316.7,51,335,8.56
488,314.8,317.7,52,336,5.41
489,315.8,318.7,53,337,5.66
490,316.8,319.7,54,338,7.84
491,317.8,320.7,55,339,9.67
492,318.8,321.7,56,340,6.72
493,319.8,322.7,57,341,5.37
494,320.8,323.7,58,342,9.53
495,321.8,324.7,59,343,6.81
496,322.8,325.7,60,344,8.4
497,323.8,326.7,61,345,6.59
498,324.8,327.7,62,346,8.83
499,325.8,328.7,63,347,8.97
500,326.8,329.7,64,348,7.49
501,327.8,330.7,65,349,7.02
502,328.8,331.7,66,350,6.48
503,329.8,332.7,67,351,7.43
504,330.8,333.7,68,352,7.35
505,331.8,334.7,69,353,6.62
506,332.8,335.7,70,354,5.91
507,333.8,336.7,71,355,7.91
508,334.8,337.7,72,356,8.04
509,335.8,338.7,73,357,5.15
510,336.8,339.7,74,358,8.11
511,337.8,340.7,75,359,9.06
512,338.8,341.7,76,360,8.8
513,339.8,342.7,77,361,7.99
514,340.8,343.7,78,362,6.87
515,341.8,344.7,79,363,7.54
516,342.8,345.7,80,364,9.22
517,343.8,346.7,81,365,5.33
518,344.8,347.7,82,366,8.51
519,345.8,348.7,83,367,8.69
520,346.8,349.7,84,368,5.19
521,347.8,350.7,85,369,8
522,348.8,351.7,86,370,6.88
523,349.8,352.7,87,371,5.29
524,350.8,353.7,88,372,6.68
525,351.8,354.7,89,373,5.5
526,352.8,355.7,90,374,6.15
527,353.8,356.7,91,375,9.7
528,354.8,357.7,92,376,5.52
529,355.8,358.7,93,377,9.39
530,356.8,359.7,94,378,5.42
531,357.8,360.7,95,379,6.03
532,358.8,361.7,96,380,9.79
533,359.8,362.7,97,381,8.48
534,360.8,363.7,98,382,7.21
535,361.8,364.7,99,383,5.9
536,362.8,365.7,100,384,9.76
537,363.8,366.7,101,385,6.03
538,364.8,367.7,102,386,8.77
539,365.8,368.7,103,387,8.97
540,366.8,369.7,104,388,8.23
541,367.8,370.7,105,389,6.6
542,368.8,371.7,106,390,7.12
543,369.8,372.7,107,391,6.56
544,370.8,373.7,108,392,9.72
545,371.8,374.7,109,393,7.65
546,372.8,375.7,110,394,6.06
547,373.8,376.7,111,395,6.32
548,374.8,377.7,112,396,8.98
549,375.8,378.7,113,397,6.23
550,376.8,379.7,114,398,6.98
551,377.8,380.7,115,399,9.42
552,378.8,381.7,116,400,8.53
553,379.8,382.7,117,401,6.32
554,380.8,383.7,118,402,7.39
555,381.8,384.7,119,403,5.78
556,382.8,385.7,120,404,6.99
557,383.8,386.7,26,405,9.09
558,384.8,387.7,27,406,8.17
559,385.8,388.7,28,407,7.17
560,386.8,389.7,29,408,7.02
561,387.8,390.7,30,409,9.8
562,388.8,391.7,31,410,7.87
563,389.8,392.7,32,411,5.67
564,390.8,393.7,33,412,5.83
565,391.8,394.7,34,413,6.64
566,392.8,395.7,35,414,7.23
567,393.8,396.7,36,415,8.02
568,394.8,397.7,37,416,6.63
569,395.8,398.7,38,417,7.62
570,396.8,399.7,39,418,6
571,397.8,400.7,40,419,6.58
572,398.8,401.7,41,420,6.55
573,399.8,402.7,42,421,9.23
574,400.8,403.7,43,422,6.34
575,401.8,404.7,44,423,9.36
576,402.8,405.7,45,424,9.4
577,403.8,406.7,46,425,7.87
578,404.8,407.7,47,426,5.16
579,405.8,408.7,48,427,9.89
580,406.8,409.7,49,428,6.06
581,407.8,410.7,50,429,9.9
582,408.8,411.7,51,430,7.37
583,409.8,412.7,52,431,9.74
584,410.8,413.7,53,432,9.49
585,411.8,414.7,54,433,9.35
586,412.8,415.7,55,434,9.87
587,413.8,416.7,56,435,9.15
588,414.8,417.7,57,436,7.5
589,415.8,418.7,58,437,7.69
590,416.8,419.7,59,438,9.07
591,417.8,420.7,60,439,5.58
592,418.8,421.7,61,440,6.23
593,419.8,422.7,62,441,6.77
594,420.8,423.7,63,442,5.84
595,421.8,424.7,64,443,8.17
596,422.8,425.7,65,444,8.72
597,423.8,426.7,66,445,5.64
598,424.8,427.7,67,446,5.81
599,425.8,428.7,68,447,5.25
600,426.8,429.7,69,448,9.26
601,427.8,430.7,70,449,9.62
602,428.8,431.7,71,450,6.53
603,429.8,432.7,72,451,8.26
604,430.8,433.7,73,452,6.38
605,431.8,434.7,74,453,9.22
606,432.8,435.7,75,454,5.96
607,433.8,436.7,76,455,7.7
608,434.8,437.7,77,456,6.71
609,435.8,438.7,78,457,8.41
610,436.8,439.7,79,458,9.78
611,437.8,440.7,80,459,5.75
612,438.8,441.7,81,460,8.5
613,439.8,442.7,82,461,7.83
614,440.8,443.7,83,462,8.79
615,441.8,444.7,84,463,7.95
616,442.8,445.7,85,464,5.13
617,443.8,446.7,86,465,6.63
618,444.8,447.7,87,466,9.71
619,445.8,448.7,88,467,6.95
620,446.8,449.7,89,468,7
621,447.8,450.7,90,469,9.7
622,448.8,451.7,91,470,8.59
623,449.8,452.7,92,471,6.33
624,450.8,453.7,93,472,9.09
625,451.8,454.7,94,473,5.79
626,452.8,455.7,95,474,6.06
627,453.8,456.7,96,475,8.98
628,454.8,457.7,97,476,7.1
629,455.8,458.7,98,477,5.66
630,456.8,459.7,99,478,5.71
631,457.8,460.7,100,479,6.66
632,458.8,461.7,101,480,7.21
633,459.8,462.7,102,481,9.39
634,460.8,463.7,103,482,6.11
635,461.8,464.7,104,483,8.89
636,462.8,465.7,105,484,8.45
637,463.8,466.7,106,485,5.55
638,464.8,467.7,107,486,7.89
639,465.8,468.7,108,487,7.39
640,466.8,469.7,109,488,5.8
641,467.8,470.7,110,489,6
642,468.8,471.7,111,490,9.48
643,469.8,472.7,112,491,8.28
644,470.8,473.7,113,492,7.96
645,471.8,474.7,114,493,7.35
646,472.8,475.7,115,494,7.51
647,473.8,476.7,116,495,7.9
648,474.8,477.7,117,496,5.88
649,475.8,478.7,118,497,7.92
650,476.8,479.7,119,498,5.27
651,477.8,480.7,120,499,9.63
652,478.8,481.7,26,500,5.47
653,479.8,482.7,27,501,5.17
654,480.8,483.7,28,502,7.34
655,481.8,484.7,29,503,5.15
656,482.8,485.7,30,504,9.48
657,483.8,486.7,31,505,9.37
658,484.8,487.7,32,506,7.6
659,485.8,488.7,33,507,7.97
660,486.8,489.7,34,508,9.78
661,487.8,490.7,35,509,7.36
662,488.8,491.7,36,510,7.93
663,489.8,492.7,37,511,9.04
664,490.8,493.7,38,512,5.6
665,491.8,494.7,39,513,9.19
666,492.8,495.7,40,514,8.91
667,493.8,496.7,41,515,9.88
668,494.8,497.7,42,516,8.08
669,495.8,498.7,43,517,7.44
670,496.8,499.7,44,518,8
671,497.8,500.7,45,519,8.53
672,498.8,501.7,46,520,9.73
673,499.8,502.7,47,521,9.77
674,500.8,503.7,48,522,7.64
675,501.8,504.7,49,523,5.42
676,502.8,505.7,50,524,9.53
677,503.8,506.7,51,525,6.42
678,504.8,507.7,52,526,7.02
679,505.8,508.7,53,527,5.64
680,506.8,509.7,54,528,8.79
681,507.8,510.7,55,529,5.17
682,508.8,511.7,56,530,7.76
683,509.8,512.7,57,531,8.81
684,510.8,513.7,58,532,8.89
685,511.8,514.7,59,533,8.41
686,512.8,515.7,60,534,8.48
687,513.8,516.7,61,535,8.63
688,514.8,517.7,62,536,8.33
689,515.8,518.7,63,537,8.67
690,516.8,519.7,64,538,9.49
691,517.8,520.7,65,539,6.84
692,518.8,521.7,66,540,9.53
693,519.8,522.7,67,541,8.85
694,520.8,523.7,68,542,8.59
695,521.8,524.7,69,543,9.04
696,522.8,525.7,70,544,8.72
697,523.8,526.7,71,545,6.11
698,524.8,527.7,72,546,7.1
699,525.8,528.7,73,547,8.81
700,526.8,529.7,74,548,7.97
701,527.8,530.7,75,549,5.23
702,528.8,531.7,76,550,7.25
703,529.8,532.7,77,551,9.03
704,530.8,533.7,78,552,5.47
705,531.8,534.7,79,553,7.56
706,532.8,535.7,80,554,6.56
707,533.8,536.7,81,555,7.4
708,534.8,537.7,82,556,6.63
709,535.8,538.7,83,557,8.42
710,536.8,539.7,84,558,6.64
711,537.8,540.7,85,559,5.45
712,538.8,541.7,86,560,7.16
713,539.8,542.7,87,561,8.6
714,540.8,543.7,88,562,6.63
715,541.8,544.7,89,563,6.8
716,542.8,545.7,90,564,5.21
717,543.8,546.7,91,565,9.66
718,544.8,547.7,92,566,9.72
719,545.8,548.7,93,567,8.18
720,546.8,549.7,94,568,7.01
721,547.8,550.7,95,569,6.49
722,548.8,551.7,96,570,8.33
723,549.8,552.7,97,571,6.33
724,550.8,553.7,98,572,6.96
725,551.8,554.7,99,573,8.93
726,552.8,555.7,100,574,5.75
727,553.8,556.7,101,575,7
728,554.8,557.7,102,576,8.86
729,555.8,558.7,103,577,7.51
730,556.8,559.7,104,578,6.63
731,557.8,560.7,105,579,7.36
732,558.8,561.7,106,580,6.12
733,559.8,562.7,107,581,7.55
734,560.8,563.7,108,582,9.22
735,561.8,564.7,109,583,8.12
736,562.8,565.7,110,584,7.26
737,563.8,566.7,111,585,9.23
738,564.8,567.7,112,586,8.99
739,565.8,568.7,113,587,8.8
740,566.8,569.7,114,588,8.41
741,567.8,570.7,115,589,8.31
742,568.8,571.7,116,590,9.12
743,569.8,572.7,117,591,7.96
744,570.8,573.7,118,592,6.26
745,571.8,574.7,119,593,8.5
746,572.8,575.7,120,594,6.72
747,573.8,576.7,26,595,5.34
748,574.8,577.7,27,596,8.85
749,575.8,578.7,28,597,8.79
750,576.8,579.7,29,598,5.91
751,577.8,580.7,30,599,6.35
752,578.8,581.7,31,600,8.22
753,579.8,582.7,32,601,6.08
754,580.8,583.7,33,602,9.28
755,581.8,584.7,34,603,5.49
756,582.8,585.7,35,604,8.99
757,583.8,586.7,36,605,7.72
758,584.8,587.7,37,606,8.5
759,585.8,588.7,38,607,6.26
760,586.8,589.7,39,608,5.98
761,587.8,590.7,40,609,7.56
762,588.8,591.7,41,610,6.11
763,589.8,592.7,42,611,8.46
764,590.8,593.7,43,612,7.31
